fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-01-31,1185000,910000,810000,1473000,1480000,60.35,19635.45981772991,15078.707539353769,13421.706710853356,24407.6222038111,24523.61226180613
2020-02-03,1185000,914000,810000,1480000,1479000,60.46,19599.735362222957,15117.433013562686,13397.287462785313,24478.994376447237,24462.45451538207
2020-02-04,1200000,905700,815000,1490000,1479300,60.58,19808.517662594917,14950.478705843514,13453.284912512381,24595.57609772202,24418.950148563883
2020-02-05,1200000,905500,810000,1480000,1490000,60.59,19805.248390823566,14944.710348242283,13368.542663805907,24426.473015349067,24591.516751939263
2020-02-06,1202000,907000,810000,1482000,1495000,60.69,19805.569286538146,14944.801449991763,13346.515076618884,24419.179436480474,24633.382764870654
2020-02-07,1190000,909000,815000,1485000,1510000,60.78,19578.80881869036,14955.577492596249,13409.016123724909,24432.379072063177,24843.698585060876
2020-02-10,1200000,918000,815000,1490000,1510000,60.978,19679.22857423989,15054.609859293516,13365.476073337924,24435.042146347863,24763.02928925186
2020-02-11,1204000,922000,820000,1492500,1495000,61.119,19699.275184476184,15085.325348909504,13416.449876470491,24419.574927600257,24460.47873819925
2020-02-12,1202000,938000,820000,1495000,1515000,61.229,19631.22050008983,15319.538127357951,13392.3467637884,24416.53464861422,24743.177252609057
2020-02-13,1200000,930000,820000,1500000,1517500,61.389,19547.47593217026,15149.293847431949,13357.44188698301,24434.344915212823,24719.412272556972
2020-02-14,1207000,907000,820000,1500000,1513000,61.459,19639.1089994956,14757.806017019475,13342.228152101401,24406.51491238061,24618.038041621243
2020-02-17,1195000,897000,820000,1506000,1515000,61.459,19443.856880196552,14595.095917603605,13342.228152101401,24504.140972030134,24650.580061504417
2020-02-18,1192000,873000,820000,1500000,1530000,61.662,19331.19263079368,14157.828159968863,13298.30365541176,24326.165223314198,24812.68852778048
2020-02-19,1190000,861500,820000,1507500,1505000,61.729,19277.811077451443,13956.16322960035,13283.869818075784,24421.260671645417,24380.761068541527
2020-02-20,1201000,862000,820000,1480000,1478000,61.789,19437.116638883945,13950.703199598634,13270.97056110311,23952.483451747074,23920.115230866333
