fecha,trigo,maiz,sorgo,girasol,soja
22/07/2020,1400000,945000,1074000,1905000,1704000
23/07/2020,1395000,990000,1075000,1913000,1727000
24/07/2020,1395000,990000,1090000,1922000,1730000
27/07/2020,1370000,978000,1078000,1940000,1732000
28/07/2020,1360000,935000,1079000,1942000,1720000
29/07/2020,1368000,940000,1080000,1944000,1727000
30/07/2020,1369000,958000,1116000,1945000,1725000
31/07/2020,1380000,974000,1115000,1947000,1735000
03/08/2020,1374000,942500,1121000,1952000,1735000
04/08/2020,1375000,948000,1143000,1954000,1722500
05/08/2020,1376000,941000,1122500,1955000,1730000
06/08/2020,1370000,950000,1124000,1957000,1739000
07/08/2020,1340000,940000,1125000,1959000,1734000
10/08/2020,1340000,975000,1127000,1964500,1750000
11/08/2020,1360000,985000,1129000,1965000,1740000
12/08/2020,1360000,1010000,1129000,1967000,1751000
13/08/2020,1360000,1025000,1130000,1969000,1785000
14/08/2020,1357000,1021400,1167300,1970000,1776000
18/08/2020,1365000,1038000,1171200,1976000,1800000
19/08/2020,1370000,1045000,1172500,1980000,1800000
20/08/2020,1375000,1060000,1173000,1980000,1791000
21/08/2020,1390000,1064000,1174000,1981500,1783000
24/08/2020,1410000,1070000,1170000,1985000,1797000
25/08/2020,1410000,1104000,1175000,1987500,1830000
26/08/2020,1420000,1105000,1179000,1989000,1840000
27/08/2020,1430000,1110000,1180000,2000000,1860000
28/08/2020,1431000,1122000,1181000,2002000,1880000
31/08/2020,1434000,1125000,1191000,2007000,1900000
01/09/2020,1444000,1133000,1191000,2005000,1905000
02/09/2020,1450000,1126000,1186000,2030000,1912000
03/09/2020,1460000,1124000,1187000,2040000,1914000
04/09/2020,1450000,1150500,1200000,2004400,1923000
07/09/2020,1460000,1135000,1200000,2025000,1930000
08/09/2020,1470000,1140000,1229000,2086000,1938000
09/09/2020,1475000,1141000,1230000,2088000,1955000
10/09/2020,1471000,1167000,1306000,2090000,1965000
11/09/2020,1471000,1190000,1345000,2092000,2002000
14/09/2020,1471000,1190000,1345000,2098000,2012000
15/09/2020,1471000,1200000,1425000,2100000,2018000
16/09/2020,1475000,1208000,1426000,2101500,2070000
17/09/2020,1480000,1241000,1427000,2140000,2101000
18/09/2020,1488000,1281000,1420000,2180000,2165000
21/09/2020,1492000,1247000,1432500,2224000,2140000
22/09/2020,1495000,1249000,1456000,2263500,2165000
23/09/2020,1500000,1254000,1457500,2266000,2180000
24/09/2020,1474000,1237000,1473000,2267500,2110000
25/09/2020,1475000,1222000,1460000,2269500,2130000
28/09/2020,1500000,1221000,1464000,2276000,2110000
29/09/2020,1500000,1215000,1465000,2300000,2110000
30/09/2020,1481500,1257000,1466500,2310000,2203000
01/10/2020,1500000,1295000,1500000,2330000,2285000
02/10/2020,1510000,1308000,1520000,2370000,2310000
05/10/2020,1536200,1314000,1536200,2381000,2310000
06/10/2020,1537600,1345000,1535000,2383000,2355000
07/10/2020,1538200,1350000,1538000,2384000,2380000
08/10/2020,1546000,1385000,1538200,2384000,2392000
09/10/2020,1540000,1393000,1539000,2385500,2420000
13/10/2020,1560000,1395000,1545000,2394000,2410000
14/10/2020,1565000,1400000,1546000,2396000,2440000
15/10/2020,1585000,1430000,1546000,2396000,2460000
16/10/2020,1624000,1480000,1546000,2400000,2470000
19/10/2020,1630000,1513000,1547500,2400000,2501000
20/10/2020,1666000,1549600,1550000,2500000,2550000
21/10/2020,1700000,1580000,1551000,2600000,2595000
22/10/2020,1713000,1610000,1635000,2725000,2640000
23/10/2020,1750000,1586000,1636500,2800000,2653500
26/10/2020,1750000,1547000,1639000,2810000,2662000
27/10/2020,1750000,1554000,1640000,2890000,2660000
28/10/2020,1690000,1523000,1640000,2890000,2610000
29/10/2020,1648000,1484000,1640000,2905000,2609000
30/10/2020,1630000,1468000,1640000,2851000,2523000
02/11/2020,1630000,1475000,1648000,2865000,2515000
03/11/2020,1635000,1495000,1653000,2865000,2560000
04/11/2020,1630000,1490000,1655000,2850000,2612000
05/11/2020,1657000,1500000,1657000,2850000,2655000
06/11/2020,1657000,1490000,1657000,2825000,2640000
09/11/2020,1686000,1503700,1655000,2780000,2665000
10/11/2020,1710000,1545000,1660000,2773000,2715000
11/11/2020,1710000,1546000,1660000,2775000,2740000
12/11/2020,1710000,1546000,1660000,2778000,2730000
13/11/2020,1710300,1550000,1670000,2784000,2760000
16/11/2020,1720000,1555500,1675000,2792000,2775000
17/11/2020,1716500,1560000,1677000,2795000,2810000
18/11/2020,1719000,1599000,1679000,2850000,2839000
19/11/2020,1705000,1599000,1682000,2900000,2830000
20/11/2020,1667000,1600000,1683100,2965500,2837300
24/11/2020,1634000,1570000,1690000,2978500,2777000
25/11/2020,1644000,1571500,1692000,2982000,2780000
26/11/2020,1655000,1573500,1694500,2985500,2784000
27/11/2020,1690000,1579000,1860000,3073000,2790000
30/11/2020,1703000,1581500,1865500,3125000,2737500
01/12/2020,1714000,1588000,1787000,3127500,2758000
02/12/2020,1735500,1590000,1788500,3170000,2707000
03/12/2020,1741000,1600000,1790000,3180000,2732000
04/12/2020,1750000,1610000,1830000,3210000,2687000
09/12/2020,1770000,1620000,1830000,3273600,2665000
10/12/2020,1835000,1640000,1830000,3280000,2671000
11/12/2020,1845000,1640000,1805000,3300000,2703000
14/12/2020,1805000,1635000,1790000,3330000,2725000
15/12/2020,1812000,1626000,1790000,3334000,2763000
16/12/2020,1830000,1635000,1730000,3363000,2785000
17/12/2020,1848000,1650000,1700000,3367000,2763000
18/12/2020,1859000,1661000,1700000,3388000,2760000
21/12/2020,1870000,1665000,1700500,3400000,2780000
22/12/2020,1870000,1660000,1705000,3405000,2796000
23/12/2020,1883500,1655000,1720000,3410000,2830000
28/12/2020,1905000,1670000,1740000,3450000,2846000
29/12/2020,1905000,1715000,1744000,3470000,2883000
30/12/2020,1900000,1700000,1744000,3484000,2888000
04/01/2021,1910000,1690000,1750000,3550000,2915000
05/01/2021,1904000,1692000,1760000,3595000,2944000
06/01/2021,1900000,1670000,1762000,3640000,2944000
07/01/2021,1910000,1695000,1781000,3730000,2915000
08/01/2021,1930000,1700000,1785000,3821000,2945000
11/01/2021,1930000,1735000,1788000,3960500,2955000
12/01/2021,1978000,1740000,1790000,3922500,3000000
13/01/2021,1980000,1792500,1792500,3970000,3005000
14/01/2021,1988000,1820000,1794000,3973000,3033000
